"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Bike Cadence","Max Bike Cadence","Normalized Power® (NP®)","Avg Power","Avg W/kg","Max Power","Max W/kg","Max Avg Power (20 min)","Calories","Avg Temperature","Max Speed","Moving Time","Avg Moving Speed"
"1","1:45:12","1:45:12","42.65","24.3","124","163","296","300","70","147","144","127","No Weight","453","No Weight","--","800","19.7","52.6","1:44:39","24.5"
"Summary","1:45:12","1:45:12","42.65","24.3","124","163","296","300","70","147","144","127","No Weight","453","No Weight","144","800","19.7","52.6","1:44:39","24.5"
